interaction_id,client_id,date,channel,notes
INT31413,C100,2024-10-01,branch_visit,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT61228,C100,2024-03-23,branch_visit,Follow-up call: client happy with recent loan approval. Open to insurance discussion.
INT30903,C101,2024-04-02,chat,Client mentioned planning child's education. Asked about SIP options.
INT78198,C101,2024-04-11,email,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT27864,C101,2024-03-19,email,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT85185,C102,2024-03-09,branch_visit,Follow-up call: client happy with recent loan approval. Open to insurance discussion.
INT40110,C103,2024-04-20,email,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT63515,C104,2024-04-22,email,General account query. No specific product interest discussed.
INT97861,C105,2024-08-13,call,RM visit: client expressed interest in mutual funds. Mentioned upcoming home purchase.
INT11403,C105,2024-08-07,chat,Client mentioned planning child's education. Asked about SIP options.
INT72703,C105,2024-08-12,chat,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT42653,C105,2024-11-08,branch_visit,Client mentioned planning child's education. Asked about SIP options.
INT94116,C106,2024-01-30,email,General account query. No specific product interest discussed.
INT20255,C106,2024-07-08,email,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT82892,C106,2024-03-29,email,Email inquiry about home loan top-up. Client has existing HL with us.
INT40800,C106,2024-05-12,chat,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT27276,C106,2024-01-15,email,General account query. No specific product interest discussed.
INT48797,C106,2024-01-24,email,RM note: client travelling to US in December. Suggest forex card.
INT69535,C107,2024-02-04,call,RM visit: client expressed interest in mutual funds. Mentioned upcoming home purchase.
INT48361,C107,2024-03-24,email,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT67586,C107,2024-01-27,branch_visit,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT70629,C107,2024-07-30,branch_visit,RM note: client travelling to US in December. Suggest forex card.
INT52089,C108,2024-02-22,chat,Client flagged unexpected charge on account. Dispute raised internally.
INT91565,C108,2024-05-13,chat,RM visit: client expressed interest in mutual funds. Mentioned upcoming home purchase.
INT16559,C108,2024-11-03,email,General account query. No specific product interest discussed.
INT39804,C108,2024-07-16,branch_visit,RM note: client travelling to US in December. Suggest forex card.
INT98819,C108,2024-10-01,chat,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT76294,C108,2024-08-28,email,Client mentioned planning child's education. Asked about SIP options.
INT88485,C109,2024-04-02,email,Client mentioned planning child's education. Asked about SIP options.
INT61668,C110,2024-10-26,branch_visit,Follow-up call: client happy with recent loan approval. Open to insurance discussion.
INT29324,C111,2024-05-24,branch_visit,RM note: client travelling to US in December. Suggest forex card.
INT92208,C111,2024-05-06,chat,Client inquired about personal loan options. Said salary hike expected next quarter.
INT20001,C111,2024-04-06,chat,Email inquiry about home loan top-up. Client has existing HL with us.
INT21080,C111,2024-04-05,call,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT79588,C111,2024-02-14,call,RM visit: client expressed interest in mutual funds. Mentioned upcoming home purchase.
INT55436,C112,2024-09-19,call,Client inquired about personal loan options. Said salary hike expected next quarter.
INT16553,C112,2024-12-18,chat,Email inquiry about home loan top-up. Client has existing HL with us.
INT16485,C112,2024-12-08,call,Client flagged unexpected charge on account. Dispute raised internally.
INT92480,C112,2024-09-05,branch_visit,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT23574,C113,2024-11-02,email,Client mentioned planning child's education. Asked about SIP options.
INT33357,C113,2024-10-27,branch_visit,Client mentioned planning child's education. Asked about SIP options.
INT23372,C114,2024-06-11,call,Client flagged unexpected charge on account. Dispute raised internally.
INT74517,C114,2024-03-29,email,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT38876,C114,2024-07-17,branch_visit,Client inquired about personal loan options. Said salary hike expected next quarter.
INT31436,C114,2024-10-12,chat,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT29615,C114,2024-01-11,branch_visit,General account query. No specific product interest discussed.
INT59398,C115,2024-02-27,chat,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT87477,C115,2024-12-13,branch_visit,General account query. No specific product interest discussed.
INT10197,C116,2024-07-14,email,Client inquired about personal loan options. Said salary hike expected next quarter.
INT47997,C116,2024-12-20,email,Client inquired about personal loan options. Said salary hike expected next quarter.
INT12427,C116,2024-05-30,branch_visit,Client flagged unexpected charge on account. Dispute raised internally.
INT88541,C116,2024-06-05,chat,RM note: client travelling to US in December. Suggest forex card.
INT45515,C116,2024-10-24,branch_visit,"Client called re FD maturity next month, asked about forex options for Europe trip in March"
INT11353,C116,2024-08-25,call,Complaint logged: credit card declined abroad. Client very upset. Resolved after call.
INT99699,C117,2024-11-10,chat,RM note: client travelling to US in December. Suggest forex card.
INT51054,C117,2024-06-27,call,Email inquiry about home loan top-up. Client has existing HL with us.
INT43735,C117,2024-04-07,chat,Client flagged unexpected charge on account. Dispute raised internally.
INT65985,C118,2024-12-25,email,Follow-up call: client happy with recent loan approval. Open to insurance discussion.
